	273	70 / 66 / 80 / 57				109 / 105 / 124 / 77						71				0	0					450						
ID	Name	Type	Suit	Level	Value	Ability1	Value1	Suit1	Ability2	Value2	Suit2	Ability3	Not Used	Kudos	UpgradeFrom	HowGet	Artist	StoryEvents	Age	Unused	Notes	Usages			Artist Name	Artist Website	Artist Social At	Artist Social URL
		Social - straights, positionals, kudos and stress, odd														kudos, stress, straightBonus												
		Mental - low values, suit, self effects, wacky, card drawing														draw, keep, flushesBonus												
		Physical - high values, pairs, simple, even										Count Cards with Value	Value + Value1			duplicate, pairsBonus												
		social	0-3	4-6	7-9	10+			109	70	< 0	1	4															
		mental	0-3	4-6	7-9	10+			105	66	0	13	0			multIfHighest, plusForPosition, 												
		phys	0-3	4-6	7-9	10+			124	80	1	18	10															
		gear							49	36	2	31	22															
		collectible							14	9	3	29	27		Level 1 Cards:	49												
		wild							14	12	4	40	45		Level 2 Cards:	79												
											5	34	29		Level 3 Cards:	54												
											6	16	16		Level 4 Cards:	46												
											7	9	9															
											8	20	21															
											9	4	6															
											10	10	10		"-10 Because the vertumnalia prizes and the ""Second"" jobs artificially inflate it"													
											11	0	4															
											12	2	10															
											13	0	3															
											14	0	2															
											15	0	1															
											> 15	1	7															
																												
	Intro Starting Cards																											
																												
social0	Хи-хи		social	1	0									10		trainingBuy	Mei - Done	gamestartintro	10			1 social			Meilee Chao	bkomei.carrd.co	bkomei	https://twitter.com/bkomei
social1	Первые слова		social	1	1									20	social0	training	Mei - Done	gamestartintro, (gym upgrade)	10			1 social	1		Meilee Chao	bkomei.carrd.co	bkomei	https://twitter.com/bkomei
social2	Переговоры		social	1	2									50	social1	training	Mei - Done	gamestartintro, (gym upgrade), marzDeliveryUnlockEnd	10			2 social	2		Meilee Chao	bkomei.carrd.co	bkomei	https://twitter.com/bkomei
social3	Командовать		social	2	4									100	social2	training	Mei - Done	(store upgrade)	11			1 social	4		Meilee Chao	bkomei.carrd.co	bkomei	https://twitter.com/bkomei
																						 						
mental0	Удивление		mental	1	0									10		trainingBuy	Mei - Done	gamestartintro	10			1 mental			Meilee Chao	bkomei.carrd.co	bkomei	https://twitter.com/bkomei
mental1	Изучение		mental	1	1									20	mental0	training	Mei - Done	gamestartintro, (gym upgrade)	10			1 mental	1		Meilee Chao	bkomei.carrd.co	bkomei	https://twitter.com/bkomei
mental2	Размышление		mental	1	2									50	mental1	training	Mei - Done	gamestartintro, (gym upgrade)	10			1 mental	2		Meilee Chao	bkomei.carrd.co	bkomei	https://twitter.com/bkomei
mental3	Инновации		mental	2	4									100	mental2	training	Mei - Done	(store upgrade)	11			1 mental	4		Meilee Chao	bkomei.carrd.co	bkomei	https://twitter.com/bkomei
																						 						
physical0	Ползанье		physical	1	0									10		trainingBuy	Mei - Done	gamestartintro	10			1 physical			Meilee Chao	bkomei.carrd.co	bkomei	https://twitter.com/bkomei
physical1	Первые шаги		physical	1	1									20	physical0	training	Mei - Done	gamestartintro, (gym upgrade)	10			1 physical	1		Meilee Chao	bkomei.carrd.co	bkomei	https://twitter.com/bkomei
physical2	Бег		physical	1	2									50	physical1	training	Mei - Done	gamestartintro, (gym upgrade)	10			1 physical	2		Meilee Chao	bkomei.carrd.co	bkomei	https://twitter.com/bkomei
physical3	Прыжок		physical	2	4									100	physical2	training	Mei - Done	(store upgrade)	11			1 physical	4		Meilee Chao	bkomei.carrd.co	bkomei	https://twitter.com/bkomei
																												
																												
																												
																						 						
	Intro Choice Cards																											
																						 						
introTrowel	Садовая лопатка	gear	none	1		gearBiology	5		straightsBonus	1				50		shopDefault	Ed - Done	gamestartintro, (store)	10			2 none	5		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
introBook	Книга о животных	gear	none	1		gearAnimals	5		flushesBonus	1				50		shopDefault	Ed - Done	gamestartintro, (store)	10			2 none	5		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
introDoll	Кукла	gear	none	1		gearPersuasion	5		pairsBonus	1				50		shopDefault	Ed - Done	gamestartintro, (store)	10			2 none	5		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
introHat	Старая шляпа Эвдикот	gear	none	1		gearEmpathy	5		straightsBonus	1				50		shopClothes	Ed - Done	gamestartintro, (store)	10			2 none	1		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
introTablet	Обучающий планшет	gear	none	1		gearReasoning	5		flushesBonus	1				50		shopGadgets	Ed - Done	gamestartintro, (store)	10			2 none	5		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
introSportsball	Спортбол	gear	none	1		gearToughness	5		pairsBonus	1				50		shopWeapons	Ed - Done	gamestartintro, (store)	10			2 none	5		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
																						 						
perk_eyes	Орлиные глаза I		physical	2	0	plusWinSkill	1	physical								unique	Ed - Done	gamestartintro, allextrastartingperk	10			1 physical	1		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
perk_extraFingers	Бонусные пальцы I		social	2	0	plusWinSkill	1	social								unique	Ed - Done	gamestartintro, allextrastartingperk	10			1 social	1		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
perk_spongyBrain	Впитывающий мозг I		mental	2	0	plusWinSkill	1	mental								unique	Ed - Done	gamestartintro, allextrastartingperk	10			1 mental	1		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
perk_muscles	Супер сила I		physical	2	5											unique	Ed - Done	gamestartintro, allextrastartingperk	10			1 physical	5		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
perk_calm	Спокойный темперамент I		social	2	0	stress	-1									unique	Ed - Done	gamestartintro, allextrastartingperk	10			1 social	-1		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
	// perk = nothing has no card																					 						
																						 						
perk_eyes2	Орлиные глаза II		physical	3	3	plusWinSkill	1	physical				gem		70	perk_eyes	training	Sarah - Done	(gym upgrade)	11			1 physical	4		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
perk_extraFingers2	Бонусные пальцы II		social	3	3	plusWinSkill	1	social				gem		70	perk_extraFingers	training	Sarah - Done	(gym upgrade)	11			1 social	4		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
perk_spongyBrain2	Впитывающий мозг II		mental	3	3	plusWinSkill	1	mental				gem		70	perk_spongyBrain	training	Sarah - Done	(gym upgrade)	11			1 mental	4		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
perk_muscles2	Супер сила II		physical	3	5	plusForSuit	2	physical				gem		70	perk_muscles	training	Sarah - Done	(gym upgrade)	11			1 physical	7		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
perk_calm2	Спокойный темперамент II		social	3	1	stress	-5					gem		70	perk_calm	training	Sarah - Done	(gym upgrade)	11			1 social	-4		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
	// perk = nothing has no card																					 						
																												
tradition	Традиции		physical	1	2	setRight	2	physical				gem					Ed - Done	gamestartintro	10			1 physical	4		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
idealism	Идеализм		social	1	2	firstToLast	1					gem					Ed - Done	gamestartintro	10			1 social	3		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
futurism	Футуризм		mental	1	1	plusLast	2					gem					Ed - Done	gamestartintro	10			1 mental	3		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
dreamPeople	Люди будущего		social	1	4							gem					Ed - Done	gamestartintro	10			1 social	4		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
engineeringBooks	Инженерная книга	gear	none	2		plusWinSkill	1	mental	globalBonusGear	2	mental						Ed - Done	gamestartintro	10			1 none	1		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
																						 						
stressCry	Плачь		social	1	2												Ed - Done	gamestartintro	10		babysitting?	1 social	2		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
toughFace	Суровое лицо		physical	1	2												Ed - Done	gamestartintro	10		babysitting?	1 physical	2		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
distraction	Отвлечение		mental	1	1	draw	1										Ed - Done	gamestartintro	10		babysitting?	1 mental	2		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
																						 						
sunMedallion	Солнечный медальон I	gear	none	1		globalBonusGear	1									unique	Ed - Done	dadMonth1, main_month1	10			1 none	1		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
sunMedallion2	Солнечный медально II	gear	none	3		globalBonusGear	5								sunMedallion	unique	Ed - Done	main_birthday15	15			1 none	5		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
																						 						
																						 						
																						 						
																						 						
	Shop Items																											
																						 						
	introHat	gear	none	1		gearEmpathy	5		straightsBonus	1						shopClothes	Ed - Done	gamestartintro, (store)				2 none	5					
jacket	Крутая куртка	gear	none	2		gearPersuasion	20		straightsBonus	2	social			100		shopClothes	Ed - Done	marz3Earth, (store)	11			2 none	20		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
emojiproji	Эмодзи-продзи	gear	none	2		gearAllSkills	10	social	globalBonusGear	2	social			100		shopClothes	Ed - Done	depotmarzsteal, (store)	12			3 none	10		Eduardo Vargas	http://www.edvargasart.com	edvargasart	https://twitter.com/edvargasart
